,Unnamed: 0,popularity,acousticness,danceability,energy,key,loudness,mode,speechiness,valence,music_genre
0,0,27.0,0.00468,0.652,0.941,1,-5.2010000000000005,1,0.0748,0.759,0
1,1,31.0,0.0127,0.622,0.89,5,-7.042999999999999,1,0.03,0.531,0
2,2,28.0,0.00306,0.62,0.755,11,-4.617,0,0.0345,0.3329999999999999,0
3,3,34.0,0.0254,0.774,0.7,4,-4.498,0,0.239,0.27,0
4,4,32.0,0.00465,0.638,0.5870000000000001,9,-6.266,0,0.0413,0.3229999999999999,0
5,5,47.0,0.0052299999999999,0.755,0.731,5,-10.517,1,0.0412,0.614,0
6,6,46.0,0.0289,0.5720000000000001,0.8029999999999999,2,-4.294,0,0.351,0.23,0
7,7,43.0,0.0297,0.809,0.706,10,-9.339,1,0.0484,0.7609999999999999,0
8,8,39.0,0.00299,0.509,0.921,8,-3.175,1,0.268,0.273,0
9,9,22.0,0.00934,0.578,0.731,0,-7.091,1,0.173,0.203,0
10,10,30.0,0.855,0.607,0.158,9,-13.787,1,0.0345,0.307,0
11,11,27.0,0.0337,0.513,0.828,2,-5.439,1,0.0609,0.0591,0
12,12,31.0,0.016,0.66,0.892,3,-3.464,0,0.0645,0.111,0
13,13,31.0,0.86,0.737,0.405,0,-10.536,1,0.0424,0.647,0
14,14,27.0,0.000194,0.601,0.969,5,-1.5530000000000002,0,0.185,0.198,0
15,15,50.0,0.00331,0.391,0.957,10,-2.51,0,0.0904,0.121,0
16,16,59.0,0.136,0.336,0.746,4,-4.315,1,0.0685,0.21,0
17,17,29.0,0.158,0.66,0.784,3,-4.396,1,0.0571,0.622,0
18,18,35.0,6.02e-05,0.259,0.687,11,-3.2310000000000003,0,0.0413,0.114,0
19,19,50.0,0.0281,0.6559999999999999,0.653,9,-11.883,1,0.0396,0.1989999999999999,0
20,20,44.0,0.00804,0.516,0.92,0,-4.37,1,0.0942,0.332,0
21,21,29.0,0.00998,0.8540000000000001,0.335,10,-9.062,1,0.0545,0.509,0
22,22,43.0,0.00949,0.629,0.6970000000000001,9,-11.293,0,0.0765,0.8440000000000001,0
23,23,33.0,0.00825,0.659,0.912,8,-4.212,0,0.0562,0.501,0
24,24,56.0,0.068,0.725,0.877,3,-3.4960000000000004,0,0.0646,0.0977,0
25,25,34.0,0.0236,0.715,0.978,5,-1.538,0,0.362,0.418,0
26,26,21.0,0.00362,0.713,0.8240000000000001,2,-7.475,1,0.0409,0.4539999999999999,0
27,27,29.0,0.00336,0.291,0.94,8,-4.044,1,0.319,0.146,0
28,28,31.0,0.0422,0.6,0.7959999999999999,7,-12.749,1,0.0468,0.0318,0
29,29,28.0,0.0336,0.74,0.83,4,-3.783,0,0.0603,0.155,0
30,30,35.0,0.000556,0.585,0.953,5,-2.734,1,0.0797,0.6609999999999999,0
31,31,48.0,0.0001899999999999,0.595,0.942,10,-11.22,0,0.0416,0.0333,0
32,32,45.0,0.0233,0.7290000000000001,0.8690000000000001,8,-7.569,1,0.129,0.138,0
